COCO,Cocoa Point,Barbuda,,Antigua and Barbuda,,0303,APX31250.bgl,17.5516667,-61.7683335,
CODR,Codrington,Barbuda,,Antigua and Barbuda,,0303,APX31250.bgl,17.6166667,-61.8333332,
TAPH,Codrington,Barbuda,,Antigua and Barbuda,,0303,APX31250.bgl,17.6083334,-61.8433334,
TAPA,V C Bird Intl,St Johns,,Antigua and Barbuda,,0303,APX31250.bgl,17.1366666,-61.7927778,
SATK,Alferez Armando Rodriguez,Alferez Armando Rodriguez,,Argentina,,0305,APX31400.bgl,-24.7213669,-60.5488363,
SAVR,D.Casimiro Szlapelis,Alto Rio Senguerr,,Argentina,,0306,APX29480.bgl,-45.0166666,-70.8,
SA35,Andalgala,Andalgala,,Argentina,,0305,APX30410.bgl,-27.6281111,-66.3417502,
SA23,Apostoles,Apostoles,,Argentina,,0405,APX33410.bgl,-27.903242,-55.7655139,
SAZB,Comandante Espora NAS,Bahia Blanca,,Argentina,,0305,APX31450.bgl,-38.7202778,-62.1575001,
SA44,Belen,Belen,,Argentina,,0305,APX30410.bgl,-27.7079329,-67.095058,
SA26,Bella Vista,Bella Vista,,Argentina,,0405,APX32420.bgl,-28.5262219,-59.0385278,
SAZI,Bolivar,Bolivar,,Argentina,,0305,APX31440.bgl,-36.2000001,-61.0666667,
SABE,Jorge Newbery Aeroparque,Buenos Aires,,Argentina,,0405,APX32440.bgl,-34.5588889,-58.4163889,
SADD,Don Torcuato,Buenos Aires,,Argentina,,0405,APX32440.bgl,-34.4977777,-58.6055557,
SADP,El Palomar,Buenos Aires,,Argentina,,0405,APX32440.bgl,-34.6066667,-58.6,
SAEZ,Ezeiza Intl Ministro Pistarini,Buenos Aires,,Argentina,,0405,APX32440.bgl,-34.8222221,-58.5358335,
SA37,C Faa H R Borden,C Faa H R Borden,,Argentina,,0305,APX29460.bgl,-41.3209031,-69.5748612,
SA24,Calilegua,Calilegua,,Argentina,,0305,APX30400.bgl,-23.780556,-64.7472221,
SA11,Campo Arenal,Campo Arenal,,Argentina,,0305,APX30410.bgl,-27.0722829,-66.5860999,
SADO,Campo De Mayo,Campo De Mayo,,Argentina,,0405,APX32440.bgl,-34.5344388,-58.6717361,
SA25,Canadon Seco,Canadon Seco,,Argentina,,0306,APX29480.bgl,-46.5390311,-67.56385,
SANC,Catamarca,Catamarca,,Argentina,,0305,APX30420.bgl,-28.5863889,-65.7533334,
SARI,Mayor D Carlos Eduardo Krause,Cataratas Del Iguazu,,Argentina,,0405,APX33410.bgl,-25.7372221,-54.4733334,
SA43,Caviahue,Caviahue,,Argentina,,0305,APX29450.bgl,-37.8513749,-71.0092472,
SANW,Ceres,Ceres,,Argentina,,0305,APX31420.bgl,-29.8630557,-61.8727778,
SANO,Chilecito,Chilecito,,Argentina,,0305,APX30420.bgl,-29.2333334,-67.4333332,
SA29,Choele Choel,Choele Choel,,Argentina,,0305,APX30450.bgl,-39.2864221,-65.6103252,
SAHC,Chos Malal,Chos Malal,,Argentina,,0305,APX29450.bgl,-37.444692,-70.222469,
SATC,Clorinda,Clorinda,,Argentina,,0405,APX32400.bgl,-25.2999999,-57.7333331,
SA30,Colonia Catriel,Colonia Catriel,,Argentina,,0305,APX29450.bgl,-37.9097531,-67.8309171,
SA33,Comandante Luis Piedrabuena,Comandante Luis Piedrabuena,,Argentina,,0306,APX29490.bgl,-49.9861002,-68.9437616,
SAVC,Gen. Enrique Mosconi Intl,Comodoro Rivadavia,,Argentina,,0306,APX30480.bgl,-45.7852777,-67.4655555,
SAAC,Comodoro Pierrestegui,Concordia,,Argentina,,0405,APX32430.bgl,-31.2959722,-57.9926388,
SACA,Area De Material,Cordoba,,Argentina,,0305,APX30430.bgl,-31.4422223,-64.2577779,
SACE,Escuela De Aviacion Mil,Cordoba,,Argentina,,0305,APX30430.bgl,-31.4466668,-64.2833336,
SACO,Ing Aeron Ambrosio Lv Taravell,Cordoba,,Argentina,,0305,APX30430.bgl,-31.3100002,-64.2083332,
SACD,Coronel Olmedo,Coronel Olmedo,,Argentina,,0305,APX30430.bgl,-31.4833332,-64.1500001,
SACZ,Brig D Hector Eduardo Ruiz,Coronel Suarez,,Argentina,,0305,APX31450.bgl,-37.4333335,-61.8833332,
SARC,Corrientes,Corrientes,,Argentina,,0405,APX32410.bgl,-27.4455556,-58.7619446,
Z00S,Cullen,Cullen,,Argentina,,0306,APX29500.bgl,-52.8850558,-68.412222,
SATU,Curuzu Cuatia,Curuzu Cuatia,,Argentina,,0405,APX32420.bgl,-29.7718324,-57.9662244,
SAZW,Cutral-Co,Cutral-Co,,Argentina,,0305,APX29450.bgl,-38.9333334,-69.2500001,
SAZD,Dolores,Dolores,,Argentina,,0405,APX32440.bgl,-36.3203059,-57.72175,
SAVB,El Bolson,El Bolson,,Argentina,,0305,APX28460.bgl,-41.9666667,-71.5166666,
SAWC,El Calafate,El Calafate,,Argentina,,0306,APX28490.bgl,-50.2802527,-72.0532165,
SA41,El Colorado,El Colorado,,Argentina,,0405,APX32410.bgl,-26.3161749,-59.3395248,
SAVD,El Maiten,El Maiten,,Argentina,,0305,APX29460.bgl,-42.0333333,-71.1500001,
SAWT,28 De Noviembre,El Turbio,,Argentina,,0306,APX28500.bgl,-51.6091665,-72.2202779,
SATD,Eldorado,Eldorado,,Argentina,,0405,APX33410.bgl,-26.4,-54.5666666,
SAVE,Esquel,Esquel,,Argentina,,0305,APX29470.bgl,-42.9069446,-71.1441667,
SA10,Estancia Don Panos,Estancia Don Panos,,Argentina,,0405,APX32410.bgl,-26.2959279,-59.5353109,
SA13,Estancia La Estrella,Estancia La Estrella,,Argentina,,0405,APX32450.bgl,-37.5594221,-58.666006,
SA46,Fiambala,Fiambala,,Argentina,,0305,APX29410.bgl,-27.6421719,-67.6247419,
SARF,Formosa,Formosa,,Argentina,,0405,APX32410.bgl,-26.2127778,-58.2280554,
SA1J,Frias,Frias,,Argentina,,0305,APX30420.bgl,-28.6299999,-65.1125,
SAMA,General Alvear,General Alvear,,Argentina,,0305,APX29440.bgl,-35.0666666,-67.6999998,
SAZG,General Pico,General Pico,,Argentina,,0305,APX31440.bgl,-35.6875001,-63.7416668,
SAHR,General Roca,General Roca,,Argentina,,0305,APX29450.bgl,-38.9833334,-67.5999999,
SACT,Chamical,Gobernador Gordillo,,Argentina,,0305,APX30420.bgl,-30.3394445,-66.2941669,
SAWR,Gobernador Gregores,Gobernador Gregores,,Argentina,,0306,APX29490.bgl,-48.7836112,-70.1608332,
SATG,Goya,Goya,,Argentina,,0405,APX32420.bgl,-29.1044445,-59.2172223,
SAAG,Gualeguaychu,Gualeguaychu,,Argentina,,0405,APX32430.bgl,-33.0108335,-58.6125,
Z02C,Isla Martin Garcia,Isla Martin Garcia,,Argentina,,0405,APX32440.bgl,-34.182122,-58.2469104,
SAWS,Jose De San Martin,Jose De San Martin,,Argentina,,0305,APX29470.bgl,-44.0583334,-70.4333335,
SAZJ,Juarez,Juarez,,Argentina,,0405,APX32450.bgl,-37.7,-59.7833334,
SA39,Jujuy Aeroclub,Jujuy Aeroclub,,Argentina,,0305,APX30400.bgl,-24.2364722,-65.269053,
SASJ,Gobernador Horacio Guzman,Jujuy,,Argentina,,0305,APX30400.bgl,-24.3927779,-65.0977778,
SAAJ,Junin,Junin,,Argentina,,0305,APX31440.bgl,-34.5416667,-60.9338889,
